Time,Channel A,Channel B
(us),(V),(V)

-0.37270593,1.15418900,-0.04398376
-0.37070593,1.15418900,0.00000000
-0.36870593,1.10989800,0.00000000
-0.36670593,1.15418900,0.00000000
-0.36470593,1.10989800,-0.04398376
-0.36270593,1.10989800,0.00000000
-0.36070593,1.10989800,-0.04398376
-0.35870593,1.15418900,0.00000000
-0.35670593,1.10989800,0.00000000
-0.35470593,1.10989800,0.00000000
-0.35270593,1.15418900,0.00000000
-0.35070593,1.10989800,0.00000000
-0.34870593,1.10989800,-0.04398376
-0.34670593,1.10989800,0.00000000
-0.34470593,1.15418900,0.00000000
-0.34270593,1.10989800,0.00000000
-0.34070593,1.10989800,0.00000000
-0.33870593,1.10989800,-0.04398376
-0.33670593,1.15418900,0.00000000
-0.33470593,1.10989800,0.00000000
-0.33270593,1.15418900,0.00000000
-0.33070593,1.10989800,0.00000000
-0.32870593,1.10989800,0.00000000
-0.32670593,1.15418900,0.00000000
-0.32470593,1.10989800,0.00000000
-0.32270593,1.10989800,-0.04398376
-0.32070593,1.10989800,0.00000000
-0.31870593,1.10989800,0.00000000
-0.31670593,1.10989800,0.00000000
-0.31470593,1.10989800,0.00000000
-0.31270593,1.10989800,0.00000000
-0.31070593,1.10989800,-0.04398376
-0.30870593,1.10989800,0.00000000
-0.30670593,1.10989800,0.00000000
-0.30470593,1.10989800,0.00000000
-0.30270593,1.10989800,-0.04398376
-0.30070593,1.10989800,0.00000000
-0.29870593,1.10989800,-0.04398376
-0.29670593,1.10989800,0.00000000
-0.29470593,1.10989800,0.00000000
-0.29270593,1.10989800,0.00000000
-0.29070593,1.10989800,0.00000000
-0.28870593,1.15418900,0.00000000
-0.28670593,1.15418900,-0.04398376
-0.28470593,1.10989800,0.00000000
-0.28270593,1.10989800,-0.04398376
-0.28070593,1.10989800,0.00000000
-0.27870593,1.10989800,-0.04398376
-0.27670593,1.10989800,0.04398376
-0.27470593,1.10989800,0.00000000
-0.27270593,1.10989800,0.00000000
-0.27070593,1.15418900,0.00000000
-0.26870593,1.10989800,0.00000000
-0.26670593,1.10989800,0.00000000
-0.26470593,1.15418900,0.00000000
-0.26270593,1.10989800,0.00000000
-0.26070593,1.10989800,0.00000000
-0.25870593,1.10989800,0.00000000
-0.25670593,1.10989800,0.00000000
-0.25470593,1.10989800,0.00000000
-0.25270593,1.10989800,0.00000000
-0.25070593,1.15418900,0.00000000
-0.24870593,1.15418900,0.00000000
-0.24670593,1.15418900,0.00000000
-0.24470593,1.15418900,0.00000000
-0.24270593,1.15418900,0.00000000
-0.24070593,1.10989800,0.00000000
-0.23870593,1.10989800,0.00000000
-0.23670593,1.15418900,0.00000000
-0.23470593,1.10989800,0.00000000
-0.23270593,1.15418900,0.00000000
-0.23070593,1.15418900,0.00000000
-0.22870593,1.15418900,0.00000000
-0.22670593,1.10989800,0.00000000
-0.22470593,1.10989800,0.00000000
-0.22270593,1.10989800,0.00000000
-0.22070593,1.10989800,0.00000000
-0.21870593,1.10989800,0.00000000
-0.21670593,1.10989800,0.00000000
-0.21470593,1.10989800,0.00000000
-0.21270593,1.15418900,0.00000000
-0.21070593,1.15418900,0.00000000
-0.20870593,1.10989800,0.00000000
-0.20670593,1.10989800,0.00000000
-0.20470593,1.10989800,-0.04398376
-0.20270593,1.10989800,0.00000000
-0.20070593,1.10989800,0.00000000
-0.19870593,1.15418900,0.00000000
-0.19670593,1.10989800,0.00000000
-0.19470593,1.10989800,0.00000000
